Date,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA","Boston, MA","San Francisco, CA","Detroit, MI","Riverside, CA","Phoenix, AZ","Seattle, WA","Minneapolis-St Paul, MN","San Diego, CA","St. Louis, MO","Tampa, FL","Baltimore, MD","Denver, CO","Pittsburgh, PA","Portland, OR","Charlotte, NC","Sacramento, CA","San Antonio, TX","Orlando, FL","Cincinnati, OH","Cleveland, OH","Kansas City, MO","Las Vegas, NV","Columbus, OH","Indianapolis, IN","San Jose, CA","Austin, TX","Virginia Beach, VA","Nashville, TN","Providence, RI","Milwaukee, WI","Jacksonville, FL","Memphis, TN","Oklahoma City, OK","Louisville-Jefferson County, KY","Hartford, CT","Richmond, VA","New Orleans, LA","Buffalo, NY","Raleigh, NC","Birmingham, AL","Salt Lake City, UT","Rochester, NY","Grand Rapids, MI","Tucson, AZ","Urban Honolulu, HI","Tulsa, OK","Fresno, CA","Worcester, MA","Stamford, CT","Albuquerque, NM","Albany, NY","Omaha, NE","New Haven, CT","Bakersfield, CA","Knoxville, TN","Greenville, SC","Ventura, CA","Allentown, PA","El Paso, TX","Baton Rouge, LA","Dayton, OH","McAllen, TX","Columbia, SC","Greensboro, NC","Akron, OH","North Port-Sarasota-Bradenton, FL","Little Rock, AR","Stockton, CA","Charleston, SC","Syracuse, NY","Colorado Springs, CO","Winston-Salem, NC","Wichita, KS","Springfield, MA","Fort Myers, FL","Boise City, ID","Toledo, OH","Madison, WI","Lakeland, FL","Ogden, UT","Daytona Beach, FL","Des Moines, IA","Jackson, MS","Augusta, GA","Harrisburg, PA","Provo, UT","Fort Collins, CO"
2019-08-31_x,1788407,95790,31955,62230,40407,29796,46141,24792,66018,44789,17445,9174,23432,21631,26162,14612,17513,10685,14633,20854,14937,20311,10730,12788,15172,9356,16917,14995,9773,14734,10618,14909,7520,9214,3673,12059,13006,13641,7765,4761,13361,6424,8422,6039,6710,5979,4731,3609,8907,6895,5317,3825,4746,4766,4915,5558,2773,3897,7426,4191,3117,4092,4382,3503,4776,7020,2694,4295,4003,5730,3006,2560,5460,2906,4564,9252,4966,2200,7527,2922,4051,2769,2753,2191,14558,4533,2451,3542,5433,2930,6665,4727,3029,4001,2354,4368,3305
2019-08-31_y,463632,18716,9999,13298,9785,8497,8542,9425,9291,12161,6991,3966,7166,6551,10018,6340,7436,3327,4413,6707,4336,5399,3287,4395,5669,3323,3395,4975,3114,2678,3781,4285,2807,3595,1358,3276,2925,4723,2186,1583,3441,1799,2654,2284,1666,2403,1106,1323,3055,1861,1734,1607,2082,1820,900,1695,1036,1461,1295,1344,693,1585,1096,1245,1822,1694,914,1345,838,1108,1046,293,1477,1143,939,2213,1130,867,1850,868,1928,1081,412,770,1976,1584,529,1009,1453,1029,1605,1358,505,1056,849,918,802
2019-09-30_x,1769611,94040,31419,61896,39837,29068,45294,24092,64438,44702,17038,9173,23967,21348,24747,14017,17350,10394,14587,20317,14648,19904,10586,12641,15020,9316,16755,14579,9719,14614,10569,14669,7540,9352,3549,11857,12593,13618,7747,4753,12917,6357,8288,6093,6660,5930,4610,3631,8739,6815,5210,3802,4790,4606,4928,5440,2757,3858,7222,4121,3135,4130,4279,3467,4712,7040,2589,4229,3949,5676,2979,2542,5428,2904,4548,8789,5008,2221,7265,2925,3979,2778,2679,2180,13792,4524,2449,3468,5417,2969,6547,4802,2962,4002,2345,4288,3304
2019-09-30_y,400164,16335,8842,11227,8481,7206,7312,7743,8226,10523,5259,3274,6464,5671,9245,5303,6009,2965,3636,5583,3806,5143,2761,3669,4772,2955,2777,4103,2799,2124,3119,3904,2406,3126,1119,2792,2447,4336,1858,1398,2987,1592,2189,1968,1428,2092,1029,1153,2576,1622,1502,1307,1824,1597,875,1562,921,1207,984,1143,592,1224,861,1092,1639,1519,785,1137,722,934,979,287,1195,947,759,1920,1046,741,1430,770,1763,870,324,676,1754,1352,421,756,1297,843,1357,1212,476,929,680,726,649
2019-10-31_x,1739592,92028,30440,60853,38705,28112,43961,23609,63861,44409,17072,9200,23959,21091,24369,13189,17051,9963,14617,20058,14417,19308,10581,12140,14828,9029,16428,14381,9574,14313,10446,14396,7505,9390,3401,11502,12092,13540,7738,4684,12687,6266,8045,6115,6550,5946,4479,3588,8745,6620,5080,3731,4780,4569,4876,5271,2732,3839,7049,4056,3116,4169,4154,3416,4711,6919,2423,4129,3918,5579,2948,2532,5249,2846,4468,8648,5049,2205,7152,2861,3825,2763,2642,2161,13594,4510,2465,3398,5466,2981,6485,4826,2906,3949,2342,4213,3207
2019-10-31_y,416444,16711,9423,10855,8489,7383,7469,8891,8687,10574,5540,4033,6893,6158,9309,5635,6297,3005,3857,6065,3860,5154,2760,3885,4832,3203,2846,4341,2995,2208,3220,3987,2430,3314,1285,2809,2561,4528,1981,1402,2894,1600,2397,2031,1430,2151,1104,1196,2862,1534,1615,1293,1903,1663,895,1542,969,1333,1046,1107,599,1282,875,1053,1661,1533,867,1179,790,1004,975,314,1253,1063,771,2082,1040,887,1640,844,1743,1026,324,668,1854,1425,489,728,1282,947,1398,1215,489,985,789,757,661
2019-11-30_x,1666157,88515,28397,57604,36959,26946,42092,22545,63501,43002,16466,8699,22827,20349,23821,11637,15916,9167,14259,19716,13848,17584,10278,11158,14130,8254,15886,14094,9133,13588,9993,13780,7131,9033,3045,10830,11416,13195,7403,4413,12331,6044,7636,5948,6223,5767,4212,3387,8493,6286,4680,3538,4538,4547,4742,5003,2621,3662,6753,3884,2973,4004,3890,3284,4624,6604,2250,3899,3854,5382,2825,2503,4991,2741,4280,8747,5016,2109,6865,2642,3466,2692,2513,2062,13734,4355,2406,3191,5420,2830,6426,4719,2852,3778,2280,3950,2984
2019-11-30_y,353634,14542,8138,9244,7187,6167,6466,7105,7391,9292,5179,3414,5640,5163,8298,4715,5107,2703,3039,5433,3166,4276,2497,3355,4159,2672,2461,3637,2405,1822,2703,3418,2081,2704,1228,2476,2242,3877,1821,1113,2532,1292,1880,1748,1258,1848,847,1083,2576,1352,1359,1111,1634,1525,824,1264,852,1131,892,994,540,1220,807,814,1416,1227,701,1076,639,819,847,288,1066,875,595,1891,821,736,1409,687,1424,822,318,559,1617,1212,399,705,1156,793,1294,1010,379,833,638,626,568
2019-12-31_x,1550091,81482,25168,52145,34552,24847,40161,20045,63100,40753,14080,7099,20862,19146,22823,9364,13862,8148,13273,19036,12649,14961,9590,9702,12933,7132,15288,13608,8315,12523,9130,12848,6470,8335,2435,9817,10614,12473,6741,3979,11919,5722,7190,5478,5644,5358,3925,3013,8035,5830,4088,3167,4094,4433,4559,4702,2420,3218,6096,3584,2692,3645,3500,3077,4394,6191,2003,3564,3772,5159,2598,2449,4743,2560,3966,8883,4779,1907,6585,2337,3049,2517,2349,1838,13937,4029,2277,2853,5255,2519,6293,4475,2765,3550,2134,3608,2659
2019-12-31_y,376266,15878,8780,9375,8546,6812,7787,7935,8909,10567,5430,3451,4862,5431,8779,4892,5030,2797,3482,6492,3418,4821,2476,3388,4580,2717,2900,4475,2442,1831,2902,3803,2112,3146,1207,2926,2297,4085,1869,1012,3127,1435,2022,1913,1368,2018,831,1025,2887,1453,1311,1109,1603,1691,848,1255,977,1131,1048,1049,491,1082,826,788,1580,1448,665,1082,755,902,834,280,1231,929,587,2228,888,800,1592,647,1550,820,324,629,2054,1209,447,644,1302,801,1663,1072,446,944,663,647,656
2020-01-31_x,1446610,75069,22395,47386,32346,22690,38870,17725,63327,38927,11591,5570,18899,18079,22062,7526,11809,7344,12110,18750,11387,12812,8969,8573,11929,6240,14757,13184,7638,11294,8220,12016,5813,7650,1898,9070,9951,11620,6040,3475,11526,5432,6863,5058,5072,4948,3736,2666,7704,5548,3552,2787,3612,4397,4350,4474,2243,2780,5432,3263,2413,3302,3139,2877,4138,5921,1833,3240,3696,5031,2382,2422,4654,2408,3604,9344,4552,1686,6343,2037,2708,2399,2221,1608,14441,3674,2124,2504,5186,2201,6319,4214,2679,3408,1972,3279,2450
2020-01-31_y,295208,14818,6668,7462,6140,5699,5091,6578,7882,7196,3849,2176,5191,4647,7098,3315,4057,2241,2485,4300,2987,3372,1752,2593,3309,2187,2164,3375,1830,1377,2093,3434,1598,2023,776,1903,1820,3117,1374,938,2316,1176,1592,1319,1012,1402,813,856,2015,1202,966,804,1408,1371,655,1059,691,890,863,879,429,795,692,739,1142,1010,555,805,672,773,736,294,935,760,439,1658,716,631,1292,487,1122,734,261,438,1848,1055,319,489,999,633,1158,803,326,732,555,450,451
2020-02-29_x,1396717,72643,21342,46028,31448,21667,38671,16794,64071,38213,10503,5203,17626,17456,21923,6825,10896,7034,11360,18773,10694,11826,8592,7970,11480,5896,14660,13066,7161,10453,7670,11379,5335,7175,1788,8722,9684,11194,5613,3267,11579,5213,6654,4759,4730,4764,3612,2428,7534,5404,3209,2578,3300,4392,4256,4385,2130,2511,5204,3047,2225,3132,2970,2767,3895,5794,1757,3021,3745,4998,2223,2440,4582,2301,3338,9794,4479,1552,6311,1854,2551,2327,2167,1485,14800,3476,2025,2370,5205,1988,6391,4058,2617,3416,1836,3051,2321
2020-02-29_y,288863,12533,6649,6889,6977,4553,5925,6025,6344,8777,3113,2369,4253,4486,7885,3642,3410,2391,2304,4998,2620,3579,1685,2887,3576,2213,2441,3160,1807,1465,2077,3520,1564,2122,914,2427,1794,3332,1254,749,2470,1169,1688,1434,885,1470,789,609,2285,1242,1120,662,1234,1548,551,1001,730,747,683,896,351,795,598,697,1161,1085,556,667,579,772,606,257,965,793,486,1892,805,564,1272,343,1206,705,260,355,1754,1124,280,451,1015,660,1179,748,399,803,488,558,489
2020-03-31_x,1422331,74852,21894,47885,32138,21816,39756,17996,65045,39298,11153,5748,17174,17409,23051,7537,11656,7297,11606,19398,10863,12764,8465,8399,12016,6187,15003,13337,7210,10315,7748,11307,5355,7145,2002,9145,10013,11358,5567,3391,12038,5193,6738,4746,4738,4948,3688,2365,7826,5551,3375,2570,3267,4552,4315,4518,2150,2554,5417,3079,2175,3311,3037,2819,3877,5887,1842,2951,3828,5120,2244,2495,4671,2341,3310,10184,4591,1547,6502,1794,2741,2453,2215,1515,15104,3571,2012,2542,5311,2079,6615,4164,2654,3472,1764,3167,2381
2020-03-31_y,369263,12833,8012,8733,8719,6064,7784,8011,9472,10641,4213,3118,4880,5638,9603,4734,4451,2914,3106,7064,3251,4778,2263,3506,4841,2749,3055,4323,2406,1917,2823,4134,1912,2953,1084,3039,2463,4246,1576,1052,3294,1466,2190,1812,1175,2012,964,641,2870,1587,1271,775,1507,1901,673,1327,839,926,864,1062,364,1082,715,872,1647,1523,705,900,720,1027,770,315,1291,961,588,2542,1015,700,1683,424,1490,936,315,468,2555,1508,380,673,1239,771,1608,1028,491,959,512,737,704
2020-04-30_x,1409811,72503,21581,47807,32267,20737,39863,18521,62900,39642,11435,5969,15680,16697,23327,8201,12481,7273,11541,18939,10710,13250,7803,8724,11981,6388,15038,13093,7091,10051,7732,11133,5311,6930,2151,9447,10169,11489,5437,3590,12053,5094,6702,4593,4587,5027,3638,2170,7818,5509,3627,2468,3082,4454,4295,4493,2107,2533,5437,3058,2058,3438,2990,2814,3808,5898,1851,2669,3816,5073,2200,2460,4545,2326,3220,9795,4636,1531,6486,1679,2866,2440,2211,1498,14425,3674,1952,2732,5151,2190,6492,4250,2635,3362,1596,3347,2386
2020-04-30_y,326511,10011,5843,9226,7503,5415,6317,7808,7298,9234,4255,2337,3479,4253,7817,4112,5064,2320,3091,5346,3259,4171,1896,3037,4085,2202,2753,3329,2291,1824,2929,2984,1818,2812,864,2413,2437,3573,1436,1253,2788,1425,1994,1690,1236,1976,849,714,2532,1455,1145,845,1279,1616,550,1319,760,970,884,1057,333,1102,721,773,1427,1272,545,745,675,946,737,253,1024,862,626,1928,968,605,1483,468,1424,950,305,472,2025,1353,365,758,1055,797,1300,1125,427,935,517,648,575
2020-05-31_x,1431105,70717,22002,48190,33239,20468,40550,19201,61568,41049,12256,6510,16123,16444,23611,9133,13569,7508,11670,18836,10802,15117,7915,9447,12413,6819,15319,13248,7304,10059,7941,11512,5514,7017,2399,10187,10329,12019,5511,3780,12056,5130,6938,4613,4597,5116,3746,2173,7967,5577,4052,2525,3330,4377,4264,4530,2086,2641,5562,3138,2062,3653,3008,2878,3848,5960,1922,2622,3726,5074,2221,2415,4534,2386,3228,9343,4698,1563,6616,1675,3251,2447,2241,1525,13810,3938,1952,2921,5071,2374,6471,4414,2633,3222,1600,3705,2644
2020-05-31_y,313547,10391,4795,8539,7249,4874,6252,7388,5279,8874,4156,2038,3189,3783,7558,4132,4926,1980,3178,4837,3280,3428,1380,2973,4139,2178,2712,2980,2357,1857,3001,2515,2240,2692,704,2387,2488,3491,1564,1110,2507,1348,2024,1625,1368,2004,789,670,2524,1522,1474,870,917,1590,475,1343,697,1003,992,1014,412,1237,776,714,1429,1299,392,595,664,879,785,255,1066,868,644,1510,1012,478,1487,492,1313,936,294,543,1443,1256,361,797,821,924,1103,1226,501,955,396,732,474
2020-06-30_x,1429933,70287,22995,48729,33815,20682,40348,18915,60789,41291,13138,7297,16789,16024,22926,9685,14019,7624,11413,18158,10552,16135,8287,9735,12023,7143,15332,13355,7387,9986,7912,11782,5580,6948,2658,10458,10106,12381,5556,3943,11627,4993,6960,4540,4583,4988,3652,2339,7672,5521,4178,2679,3505,4128,4207,4445,1986,2696,5729,3084,2131,3629,3002,2841,3788,5848,1992,2733,3591,4950,2186,2284,4298,2354,3189,8835,4663,1555,6572,1751,3541,2314,2189,1526,13026,3979,1932,2974,4908,2332,6242,4340,2529,2982,1676,3752,2867
2020-06-30_y,425470,12683,7034,10794,10507,6075,9087,9443,7139,12399,5466,3396,5265,5472,9896,5715,6218,3081,4109,6471,4898,5543,1940,3995,5506,3225,3732,3975,3018,2393,3783,3487,2577,3404,1217,3598,3200,4795,1886,1447,3380,1676,2843,2150,1560,2385,1182,693,3124,1880,1856,904,1777,1976,587,1758,929,1184,1139,1237,371,1582,937,993,1829,1731,698,721,846,1304,985,349,1618,1126,782,2071,1231,687,1947,509,1940,1076,409,613,1952,1712,520,1036,1237,1095,1676,1680,648,1206,553,993,906
2020-07-31_x,1454172,76404,25045,51277,34703,22081,40349,19295,61367,41277,14385,8584,18562,15708,22191,10539,14633,7954,11594,17699,10590,17330,9038,10188,11766,7369,15323,13686,7541,10352,7978,12072,5749,7022,2993,10640,9939,12716,5785,4221,11291,4885,6974,4524,4765,4865,3597,2660,7456,5526,4149,2962,3859,3918,4314,4400,1925,2747,6162,3087,2284,3604,3120,2848,3686,5732,2095,3019,3430,4866,2218,2151,4107,2340,3315,8493,4703,1546,6488,1899,3898,2253,2167,1566,12441,3861,1939,3083,4849,2248,6009,4263,2455,2891,1831,3584,3072
2020-07-31_y,504566,15211,9535,13934,12387,8688,10649,10408,9347,13516,7198,4328,7548,6861,10683,6561,7152,3782,4350,7487,4746,6774,3667,4972,6115,3952,4065,4737,3425,2846,4355,4431,2832,4104,1481,4069,3567,5077,2359,1717,4075,1952,3050,2468,2008,2537,1344,883,3338,2131,2046,1264,2298,2158,753,1938,954,1444,1818,1570,594,1769,1302,1216,2026,1705,917,1320,914,1434,1072,371,1588,1281,1032,2634,1402,830,2300,643,2150,1179,457,809,2265,1979,557,1050,1360,1185,1903,1770,696,1241,864,1029,984
2020-08-31_x,1424235,80346,26022,51927,33521,22264,38650,19023,60587,39586,14592,9181,18512,14852,21214,11141,14670,7900,11442,16609,10205,16834,8965,10164,11012,7146,14717,13493,7427,10543,7725,12077,5733,6875,3095,10098,9561,12456,5770,4475,10583,4639,6697,4350,4738,4649,,2856,7006,5395,3946,3102,3776,3693,4382,4295,1838,2670,6192,2985,2351,3417,3147,2790,3479,5494,2046,3060,3279,4641,2233,1963,,2222,3364,7996,4651,1465,6129,1967,3936,2163,2114,1545,11745,,1892,3099,4616,2061,5545,4024,2311,2729,1815,3178,3001
2020-08-31_y,487233,17261,9627,14129,11215,9280,9081,9969,9780,12641,7215,4209,8264,6591,9435,6376,6808,3620,6889,6904,4807,5945,3605,4631,5389,3740,3580,4564,3264,2756,3733,4039,2686,3670,1399,3637,3513,4928,2283,1709,3585,1755,2757,2353,2107,2398,1228,1153,2843,1928,1798,1419,2124,1829,745,1761,963,1469,1990,1345,639,1498,1280,1017,1853,1616,991,1432,880,1249,1172,369,1478,1141,945,2602,1276,783,2086,817,1951,1107,379,756,2439,1796,591,1060,1300,1059,1842,1685,606,1107,998,940,936
2020-09-30_x,1379006,81775,26415,51050,31439,21633,36700,19030,59551,37385,14515,9587,17966,14165,20884,11455,14553,7754,11339,15731,9940,15902,8780,9825,10539,6831,13937,13153,7250,10501,7483,12062,5665,6866,3172,9509,9201,11875,5668,4612,9851,4457,6409,4254,4737,4527,,2825,6618,5277,3711,3065,3556,3651,4370,4121,1790,2555,6067,2913,2350,3261,3164,2763,3322,5258,1949,2970,3131,4383,2268,,,2167,3321,7542,4487,1403,5772,1955,3778,2106,2122,1537,11167,,1856,3056,4435,1881,5170,3842,2176,2625,1688,2834,2933
2020-09-30_y,487819,18356,10288,14531,10251,9032,9058,10081,9709,12259,6676,4392,8135,6743,9658,6739,7545,3808,4582,6830,4836,6157,3474,4872,5396,3775,3439,4453,3281,2600,3823,4300,2859,3767,1491,3461,3437,4875,2411,1731,3650,1711,2656,2039,1943,2335,1287,1291,2777,1966,1768,1531,2162,2003,833,1813,918,1364,1850,1342,687,1452,1295,1157,1856,1660,988,1382,732,1243,1139,360,1399,1122,937,2530,1275,818,2104,815,2001,1033,338,766,2331,1708,597,1077,1375,1047,1810,1495,630,1173,931,916,918
2020-10-31_x,1338265,80888,26403,49750,30134,21176,35156,19098,59272,35786,14496,9980,17367,13963,21422,11458,14326,7622,11256,15496,9789,15004,8481,9440,10350,6698,13446,13057,7098,10241,7429,12121,5690,7015,3269,8994,8904,11341,5529,4658,9316,4275,6159,4269,4744,4495,,2725,6298,5195,3543,2993,3477,3767,4314,4075,1757,2551,5834,2879,2345,3136,3154,2693,3328,5127,1833,2924,3078,4162,2307,,,2149,3201,7338,4310,1377,5644,1912,3594,2096,2129,1557,10857,,1859,2991,4295,1806,4955,3778,2073,2484,1656,2597,2786
2020-10-31_y,498086,21274,10678,18282,9817,9638,9107,10300,10669,12312,6780,4444,8041,6959,10105,6930,7862,3696,4119,6955,5572,6102,3175,4719,5398,3717,3347,4522,3295,2595,3813,4182,3009,3676,1653,3294,3171,4519,2416,1646,3596,1697,2229,2246,2062,2455,1130,1409,2823,1827,1785,1497,2215,2123,780,1868,976,1536,1895,1353,669,1576,1372,1151,1815,1653,984,1555,720,1229,1149,357,1478,1210,972,2664,1327,875,2237,885,1955,1120,355,753,2786,1656,569,945,1427,979,1749,1558,656,1120,868,888,903
2020-11-30_x,1260282,77552,25334,46523,28398,20147,33132,18418,58357,33465,13687,9609,15970,13338,21277,10363,13080,7147,10776,15042,9270,13190,7919,8493,9798,6224,12651,12636,6684,9580,7072,11677,5406,6858,3129,8264,8520,10603,5237,4443,8733,4059,5717,4176,4542,4335,2770,2454,5697,5008,3157,2713,3192,3761,4228,3884,1670,2391,5426,2742,2226,2913,3013,2486,3286,4871,1686,2786,2775,3915,2230,,,2086,2981,7027,3910,1278,5360,1747,3228,2024,2093,1495,10361,,1779,2817,4109,1639,4727,3647,1930,2320,1568,2242,2524
2020-11-30_y,427068,18842,9066,15365,8729,8816,8025,9094,9067,10415,5794,4361,6831,6127,9117,5511,6278,3393,4185,6149,4749,4904,2675,4112,4553,3241,2912,4030,2505,2443,3165,3923,2291,3300,1528,2939,2555,3961,2213,1504,3044,1529,2205,1923,1741,2068,1062,1243,2369,1741,1541,1293,1893,1759,701,1509,888,1279,1614,1218,700,1369,1212,1008,1537,1402,879,1339,680,1130,1058,297,1206,964,810,2416,1100,754,1707,770,1571,966,270,667,2472,1325,477,883,1115,879,1632,1270,480,960,773,729,668
2020-12-31_x,1150989,70941,23004,41657,26348,18413,30955,16586,56850,30855,11604,8348,14172,12244,20027,8713,11093,6405,9819,14470,8287,10965,6939,7362,8945,5423,11744,12063,6079,8548,6493,10893,4885,6297,2744,7413,7905,9699,4700,3950,8184,3740,5189,3926,4034,3972,2638,2095,4997,4668,2682,2274,2888,3544,4101,3615,1517,2100,4750,2544,2007,2581,2667,2217,3105,4641,1478,2516,2513,3701,2043,1687,2996,1950,2642,6670,3461,1116,4976,1513,2798,1896,1956,1339,9803,2214,1633,2508,3864,1468,4524,3441,1765,2165,1458,1872,2152
2020-12-31_y,464276,22099,10398,14042,9979,8905,9780,10012,11582,11632,6571,4454,6962,6879,10082,5773,5939,3547,5023,7376,5558,5117,2747,4138,5020,3435,3325,4737,2852,2415,3504,4187,2464,3723,1424,3237,2886,4617,2384,1584,3620,1640,2317,2085,1931,2367,1128,1316,2693,1847,1533,1351,1824,2117,879,1701,956,1412,1640,1253,713,1305,1265,1189,1704,1513,960,1354,819,1167,1058,334,1600,1080,808,2982,1070,834,1988,893,1480,1125,269,810,3057,1195,529,803,1563,794,1902,1294,611,1045,861,680,687
2021-01-31_x,1057433,64313,20756,37046,23952,16731,29325,14700,55124,28146,9495,6911,12462,11084,18303,7270,9230,5632,8925,13741,7307,8861,6206,6313,7951,4477,10814,11553,5555,7669,5796,9861,4278,5656,2345,6479,7278,,4134,3340,7635,3442,4719,3617,3452,3573,2548,1785,4286,4416,2240,1898,2450,3310,,3348,1361,1765,4069,2294,1801,2254,2315,1998,2848,,1302,2206,2265,3553,1811,1713,2809,1798,2350,6403,3010,961,4472,1334,2401,1740,1804,1164,9230,1897,1466,2119,3614,1265,4377,3164,1592,2052,1314,1525,1869
2021-01-31_y,333199,18251,7498,11931,6484,7430,6231,7295,9104,7895,4086,2948,6098,5121,7346,3659,4221,2360,3404,4972,5151,3028,1939,2803,3519,,2435,3555,2080,1726,2273,,1798,2059,1051,2169,1965,2939,1518,1042,2616,1259,1787,1480,1251,1560,814,,1794,1406,940,898,1363,1575,641,1178,699,901,1198,961,506,856,889,876,1227,1106,639,1030,630,879,,288,931,832,522,2089,806,,1617,554,1017,754,,490,2692,807,,553,1050,502,1337,875,378,827,535,426,481
2021-02-28_x,977885,60050,19531,33383,21761,15451,27767,13527,51616,25772,8252,6483,11155,10315,17214,6680,8382,5256,8020,12961,6616,7265,5585,5724,7226,3975,9708,10970,5019,6316,5161,8970,3846,5069,2268,5819,6650,,3440,2887,6960,3196,4242,3281,2970,3294,2447,1566,3782,4175,1959,1641,2202,3070,,3038,1261,1519,3526,2157,1593,1999,1999,1865,2595,,1237,1941,2218,3395,1617,1669,2751,1639,1882,6014,2760,905,4037,1193,2060,1600,1574,1030,8643,1726,1328,1864,3345,1124,4242,2969,1458,2009,1220,1312,1790
2021-02-28_y,317748,15643,7359,10477,6113,6319,5887,7348,8884,8761,3135,3001,4920,4965,7904,3983,3736,2584,2596,5479,3838,3353,1694,3031,3607,,2254,3594,2226,1500,2083,,1592,2108,1159,1869,1825,2794,1231,831,2622,991,1613,1364,1011,1505,868,,1900,1335,963,677,1286,1699,647,1047,675,713,931,948,392,771,725,833,1278,1093,657,762,612,974,,255,1037,864,485,2281,740,,1624,476,1068,804,,441,2677,772,,449,1123,559,1479,775,386,870,521,474,515
2021-03-31_x,967256,59409,20053,33003,21306,15818,27491,14404,47715,24906,8773,7099,10968,10351,17209,7443,8803,5449,7897,12492,6684,6804,5557,5979,7035,4128,9017,10708,4957,5547,5137,8366,3858,5028,2595,6061,6561,,3183,2930,6584,3268,4206,3233,2869,3390,2439,1601,3594,4067,2078,1681,2173,2977,,2994,1303,1539,3411,2117,1518,2001,1948,1850,2493,,1312,1898,2195,3361,1593,1638,2742,1599,1634,5663,2723,972,3795,1183,1959,1619,1501,1004,7465,1827,1285,1895,3115,1159,4056,2999,1440,2009,1244,1338,1870
2021-03-31_y,429815,19814,10312,13688,8720,8348,9275,8703,13764,11513,4548,4401,6019,6754,10391,5366,4882,3305,3957,7819,3723,4953,2347,3820,4872,,3072,5545,2687,2341,2648,,2381,3104,1642,2942,2698,4244,1618,1320,3454,1574,2672,1764,1380,2114,1151,,2540,2016,1235,805,1278,2274,852,1595,816,911,1278,1221,443,971,970,1122,1437,1661,895,1053,746,1330,,328,1451,1046,697,3735,1058,,1915,526,1487,1037,,553,3936,1202,,636,1656,671,2208,1163,502,1168,687,608,772
2021-04-30_x,949788,60205,20410,33350,20957,16475,26195,15851,42573,23927,9679,7778,10993,10347,17397,8317,9600,5648,7869,11642,7068,6659,5605,6272,6858,4480,8093,9840,4843,4876,5346,7922,3965,5075,2903,6669,6881,,2989,3365,6265,3402,4050,3183,2954,3553,2384,1672,3426,3917,2255,1786,2168,2815,,2901,1362,1671,3487,2118,1464,2168,1961,1848,2389,,1377,1981,2091,3166,1632,1595,2653,1584,1420,4947,2678,1056,3533,1209,1940,1662,1474,1021,6088,1972,1289,2058,2744,1187,3812,3060,1432,1956,1271,1417,2007
2021-04-30_y,452664,15528,13274,19548,8525,8105,9003,10033,16951,13685,6453,4720,5435,6309,9205,5358,3576,3646,3518,6492,4837,6229,2469,5047,5741,,3155,4971,2774,2147,2676,,2744,1723,2122,2916,2243,3618,1586,1489,3541,1304,2104,1921,1411,2065,1176,,2913,1865,1488,929,1625,2235,1043,1625,1005,1163,1333,1299,539,1222,1078,1096,1486,1970,1308,1053,941,1260,,,1425,956,789,2837,1217,,2129,740,1962,1074,,679,3678,1392,,593,1566,953,1775,1335,691,1209,846,935,762
