Date,Connecticut (CT),Maine (ME),Massachusetts (MA),New Hampshire (NH),Rhode Island (RI),Vermont (VT),New Jersey (NJ),New York (NY),Pennsylvania (PA)
2015-01-31,130.29755787,150.24622312,145.16592358,137.67500651,149.82264405,158.94977301,153.02721531,155.56239123,151.74243211
2015-02-28,130.29836335,151.23208685,145.83540269,138.03134927,150.06752331,159.43046017,153.12858289,156.10254903,151.63099869
2015-03-31,130.57780072,152.22033405,146.46570487,138.54648282,150.32103206,160.32560954,153.28959863,156.7180636,151.42827849
2015-04-30,130.94015115,153.10686948,146.89716191,139.34662511,150.94841227,161.37008267,153.35790234,156.93814619,151.91314225
2015-05-31,131.27688794,153.79582592,147.52139089,140.10835895,151.68729335,162.5754818,153.55701949,157.3113839,152.43127725
2015-06-30,131.57600291,154.24977853,148.35514105,140.81051105,152.56470209,163.54662276,153.70837637,157.66120966,152.90966246
2015-07-31,131.71852871,154.40326525,149.45062721,141.57220843,153.25112315,163.3867588,153.97463205,158.15989162,153.3301756
2015-08-31,131.96362978,154.60189791,149.8468201,142.32811836,153.74030471,163.47821217,154.23234005,158.66066285,153.80754636
2015-09-30,131.71854373,154.87722819,150.11329003,142.78584664,154.37266039,163.71341673,154.34592257,159.33670977,154.33341646
2015-10-31,131.5033105,155.17426538,150.56212843,143.24845632,155.32068682,164.11879396,154.44661028,159.40405689,154.47794669
2015-11-30,131.51044845,155.53578529,151.40389553,143.4757595,156.31750172,164.33623252,154.58157735,159.72491166,154.53482562
2015-12-31,131.57409741,156.02597439,152.21160293,143.58924561,156.97818585,164.3162849,154.57197033,160.08500731,154.67615886
2016-01-31,131.7095108,156.65117523,152.66864905,143.79083403,157.25196852,164.0308253,154.93686629,160.59778955,154.97672274
2016-02-29,131.66848019,157.27031631,153.09545159,144.29417491,157.39016321,163.60980055,155.22772256,161.0240634,155.31618252
2016-03-31,131.48527193,157.80836308,153.65695286,144.92663098,158.03725725,163.34138338,155.39415508,161.32589301,155.60462152
2016-04-30,131.28734194,158.38529019,154.41031217,145.47403258,159.08296163,163.30203854,155.96705566,161.72184005,156.48397384
2016-05-31,131.16485157,158.76388144,155.13147346,145.90826581,159.96762137,163.56772758,156.55984151,162.73032645,157.11151181
2016-06-30,131.25981636,159.22887046,155.73703329,146.25896821,160.84310942,164.20073107,156.61772837,163.60484908,157.65772786
2016-07-31,131.39866297,159.90114718,156.64952189,146.72830361,161.80440399,164.79742302,156.74188825,164.31073629,158.18256324
2016-08-31,131.55720617,160.87953773,157.41114236,147.31937345,162.80262417,165.61502047,157.05042462,165.22797211,158.49583688
2016-09-30,131.81252421,161.94948631,158.41635096,147.7445333,163.78104973,165.89928013,157.52660354,166.31388588,158.91446207
2016-10-31,132.22821158,163.10948753,159.36561762,148.53577377,164.59651624,165.90715557,157.85010371,166.48670898,159.58748501
2016-11-30,132.60397998,164.16699142,160.08340915,149.57903118,165.27345699,166.02092159,158.1080259,167.12872736,160.30713428
2016-12-31,132.99832946,164.97598894,160.85225386,150.91332277,165.7910923,166.50052127,158.4561656,167.93164021,160.69017894
2017-01-31,133.30517837,165.48085745,161.7528372,152.12808689,166.3183563,167.36945247,158.99149651,168.42901473,161.02752425
2017-02-28,133.50972142,165.79565267,162.70766163,152.97258772,166.88655398,168.45469257,159.54648724,168.87064666,161.83347628
2017-03-31,133.79256139,166.14596708,163.48460315,153.49471505,167.74004252,169.46119938,160.42253941,170.0882801,162.50515256
2017-04-30,134.25046108,166.96458036,164.39299098,153.94153384,168.94242203,170.1366911,161.37000223,171.15927064,163.04485653
2017-05-31,134.63769714,168.01779105,165.59936824,154.54177,170.12878057,170.70524878,161.98656137,172.20079227,163.62679822
2017-06-30,134.90476178,169.16211182,166.14479746,155.35250075,171.19510742,171.19663388,162.42621654,173.08824092,164.11319079
2017-07-31,135.15828544,169.75747128,166.72848476,156.12138595,172.03215571,171.47566027,163.16427776,173.84941388,164.54155183
2017-08-31,135.53231139,170.42925347,167.73222207,156.84527026,172.741041,171.97831194,163.89432035,174.5773696,165.44050947
2017-09-30,135.93495815,171.17064357,168.84437635,157.55938913,173.60951095,172.69923398,164.54654818,175.56564541,166.21697093
2017-10-31,136.28384338,171.91896605,169.74875348,158.76551966,174.66731731,173.73768032,165.08825092,176.51431081,166.54708776
2017-11-30,136.60948679,172.69372677,170.32481641,159.60732752,175.91300394,174.75775737,165.50860192,177.56309409,167.14549562
2017-12-31,136.92760047,173.43184973,171.07875948,160.19177037,177.45345959,175.50694806,166.11684728,178.5728754,167.89976846
2018-01-31,137.29015012,174.23939202,172.18923803,160.90118748,179.1487215,176.07309583,166.72555554,179.5004738,168.69118343
2018-02-28,137.8008128,175.299495,173.15873785,161.69858701,180.70168272,176.53970154,167.35922381,180.11145215,169.69424576
2018-03-31,137.84320296,176.60793307,174.00321007,162.68819774,181.96500943,176.95524417,167.90137105,181.08629727,170.61709436
2018-04-30,137.7764671,178.02150018,174.90977094,163.6672264,182.72033378,177.45046415,168.2000051,181.73892736,171.20105735
2018-05-31,138.1076015,179.10842036,175.76544316,164.55168692,182.85528832,177.97254989,168.57679417,182.36073399,171.55018063
2018-06-30,138.52517393,180.23910963,176.40544565,165.28623613,182.79193497,178.65890314,169.17130732,183.16035399,172.0386029
2018-07-31,138.72204527,180.8577777,177.06201081,165.91930916,183.25008556,179.32440032,169.62466357,184.09149998,172.68142022
2018-08-31,138.78907681,181.2177957,177.41379937,166.47872689,184.04539294,179.90750639,169.81488979,184.61286853,173.07962497
2018-09-30,139.00150432,181.57908155,177.41781368,166.83391784,184.81382725,180.35237467,170.14519943,185.07347741,173.79096842
2018-10-31,139.35655092,182.01818132,177.99217127,167.73124109,185.34814844,180.83671175,170.92687294,185.75099492,174.62240508
2018-11-30,139.61281615,182.66768419,178.65313788,168.35911991,185.699275,181.17459024,171.69184018,186.3150228,175.20871819
2018-12-31,139.69296023,183.53016372,179.18766617,168.79918203,185.92799215,181.3909025,171.83699296,186.71768969,176.00120057
2019-01-31,139.62243799,184.66022857,179.37071648,169.34328608,186.3209859,181.69704059,171.96352752,187.31698568,176.58701948
2019-02-28,139.74992982,185.80445342,179.82717209,170.03863443,186.9916332,182.0973052,172.21886716,187.44117233,176.8774197
2019-03-31,139.93857157,186.75847769,180.60065654,171.05452978,187.63751874,182.67561777,172.29503671,187.67766813,177.10001721
2019-04-30,140.43122088,187.81926187,181.20207408,172.11548907,188.38231324,183.57939538,172.86229237,188.3631493,177.80645605
2019-05-31,140.8615255,188.5720264,181.77882841,173.01305153,189.47102448,184.45903112,173.54400184,189.26984209,178.90875408
2019-06-30,140.92112355,189.36468799,182.26852039,173.63932065,190.3599096,185.12857161,173.82302702,189.85457625,179.73367841
2019-07-31,141.01759567,190.05757171,182.85405782,174.2431049,191.01007567,185.6600418,174.14276705,190.16596339,180.29786327
2019-08-31,141.07110915,190.94700774,183.35528967,174.95881201,191.19216194,186.15848167,174.7233742,190.56946615,180.44235845
2019-09-30,140.84172945,191.9450778,183.7684689,175.35559644,191.48545613,186.42553335,174.93531237,190.86800051,180.98174237
2019-10-31,140.6491074,192.56962308,184.86364805,176.23978755,192.21578279,187.05336372,175.208231,191.01394627,181.87439449
2019-11-30,140.77412844,193.46115854,185.90337674,177.26552121,193.55570675,187.98582135,175.73983356,191.5031962,182.70834106
2019-12-31,141.29339559,194.44430102,187.10812679,178.59358773,194.94896637,188.98560848,176.44503019,192.28397716,183.80228898
2020-01-31,142.00119699,195.37557906,188.24535698,180.00249143,196.52181188,190.14288515,177.73016156,193.32065333,185.00370824
2020-02-29,142.88865302,196.44264067,189.57650159,180.66303573,198.17071161,191.06166724,179.08426272,194.81577195,186.48733978
2020-03-31,143.46092335,197.38839907,190.4884277,181.34876018,199.11588862,191.34852699,179.69566509,196.59191242,187.53974916
2020-04-30,144.03751701,198.43211978,190.43783461,182.39207881,199.80096828,191.46985844,180.4553448,197.43016687,187.78141922
2020-05-31,144.60739261,199.59350792,190.43638549,183.59365557,201.02184925,191.63449837,181.29218646,197.04264313,187.49862884
2020-06-30,145.60161156,202.31814308,191.60330473,185.13628157,202.9031166,192.40195219,181.88956434,196.6666003,188.47694999
2020-07-31,147.69270893,205.92648026,194.30501184,187.47891103,206.23887686,194.78743264,183.66379106,198.2648458,191.57837235
2020-08-31,150.83608185,209.52593236,197.88694411,191.12173395,209.91637391,198.92947824,186.94864766,201.4928017,194.96233301
2020-09-30,154.31890268,213.52436782,200.94452853,194.68878687,213.76038549,203.17631354,190.7319957,204.84486724,197.7410919
2020-10-31,157.34395576,217.94197154,203.77538872,198.11152081,217.53416417,207.06430584,194.66073368,207.95360588,200.07036401
2020-11-30,159.5047865,222.73915071,205.68716069,201.36614971,220.98859256,209.74562809,197.27258125,210.73365768,202.67518884
2020-12-31,161.23402733,226.64440914,207.57975847,204.70399166,223.02318674,211.33389978,198.9437481,213.03709969,204.98678992
2021-01-31,163.28713427,229.34731335,209.80443454,208.30770005,224.7915733,213.16001362,201.09451275,214.73204931,205.9849455
2021-02-28,166.54869676,231.84321511,212.53388141,211.23238374,227.12436513,215.35343435,203.84329405,216.14698636,207.86144544
2021-03-31,169.86765533,234.43664531,215.22059858,213.87683016,229.66339075,217.97500243,206.62166347,217.94630367,210.39678143
2021-04-30,173.256707,237.023506,217.980891,216.716984,232.138751,220.423132,209.44195,219.571429,212.63801
